"Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","ActiveMinutes","SleepDay","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed"
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-12,1,327,346
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-13,2,384,407
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-15,1,412,442
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-16,2,340,367
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-17,1,700,712
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-19,1,304,320
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-20,1,360,377
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-21,1,325,364
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-23,1,361,384
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-24,1,430,449
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-25,1,277,323
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-26,1,245,274
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-28,1,366,393
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-29,1,341,354
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-04-30,1,404,425
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-01,1,369,396
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-02,1,277,309
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-03,1,273,296
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-05,1,247,264
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-06,1,334,367
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-07,1,331,349
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-08,1,594,611
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-09,1,338,342
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-10,1,383,403
1503960366,2016-04-11,10990,7.26000022888184,7.26000022888184,0,2.03999996185303,0.569999992847443,4.65000009536743,0,26,14,216,855,1811,10990,2016-05-11,1,285,306
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-12,1,327,346
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-13,2,384,407
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-15,1,412,442
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-16,2,340,367
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-17,1,700,712
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-19,1,304,320
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-20,1,360,377
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-21,1,325,364
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-23,1,361,384
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-24,1,430,449
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0,2.35999989509583,0.509999990463257,4.28999996185303,0,30,13,223,1174,1820,10970,2016-04-25,1,277,323
